"pi_key","primary.subject","herfindahl","weighted.primary.subject","weighted.herfindahl"
"nih_1872624","IMMU",0.37880658436214,"IMMU",0.490745672060785
"nih_1872879","IMMU",0.322613894042465,"IMMU",0.318953990149983
"nih_1872937","BIOC",0.843030900723208,"BIOC",0.353888514589827
"nih_1872999","BIOC",0.376594225079074,"IMMU",0.181500974267374
"nih_1873251","BIOC",0.340636460345455,"OTHER",0.241324689543453
"nih_1873519","BIOC",0.425436018028611,"CHEM",0.205077224622434
"nih_1873581","BIOC",0.450659722222222,"MULT",0.336398599701405
"nih_1874203","NEUR",0.296855709876543,"NEUR",0.539334217416624
"nih_1875180","BIOC",0.451687242798354,"MULT",0.182671737982908
"nih_1876102","BIOC",0.597963925645873,"AGRI",0.262260499884003
"nih_1876106","BIOC",0.305347889719552,"MULT",0.285275896746014
"nih_1876117","IMMU",0.332414940828402,"IMMU",0.357294339349588
"nih_1876138","BIOC",0.297932098765432,"AGRI",0.322294912201532
"nih_1876206","BIOC",0.304229535206382,"NEUR",0.404772708380258
"nih_1876339","NEUR",0.253222288320444,"NEUR",0.47990593637611
"nih_1876407","BIOC",0.345925925925926,"PHAR",0.212486912704129
"nih_1876487","MEDI",0.378352490421456,"MEDI",0.284647991227598
"nih_1876555","MEDI",0.283795224622771,"IMMU",0.268930393552268
"nih_1876686","MEDI",0.277887411511234,"MEDI",0.177284639483814
"nih_1876731","BIOC",0.261801708217913,"AGRI",0.31977196701468
"nih_1876792","BIOC",0.418819444444445,"AGRI",0.283666994266981
"nih_1876807","MEDI",0.333415906989034,"OTHER",0.310002238851551
"nih_1876808","BIOC",0.497438700274348,"NEUR",0.153239756112865
"nih_1876836","BIOC",0.384425366443569,"MULT",0.164776085281398
"nih_1876857","BIOC",0.382015461407353,"OTHER",0.193804383082095
"nih_1876861","BIOC",0.537528224112581,"MULT",0.218256752942056
"nih_1876869","BIOC",0.654488888888889,"AGRI",0.273258164929623
"nih_1876977","CHEM",0.246849346745288,"PHAR",0.277013308704476
"nih_1877201","MEDI",0.350633680555556,"MEDI",0.209696868459962
"nih_1877243","BIOC",0.389933333333333,"MEDI",0.169419677663656
"nih_1877275","CHEM",0.413055795415944,"CHEM",0.392958222792665
"nih_1877450","NEUR",0.390927977839335,"NEUR",0.718612577083056
"nih_1877638","CHEM",0.209013542628501,"PHAR",0.208548491832429
